Quarter E Date,Date,Ticker,Percentage Change,Percentage of ShOutI,Return of Stocks,Return of Market,Excess Return,In Sample
12/30/2016,2/18/2017,PG,-11.9395441,57.7123901,0.003304394,0.001678556,0.001625838,1
3/30/2017,5/19/2017,PG,1.9775084,59.6898985,-0.004521309,0.0067675,-0.011288809,1
6/30/2017,8/19/2017,PG,-0.4359759,59.2539226,0.004344508,-0.001835367,0.006179875,0
9/30/2017,11/19/2017,PG,-0.2101459,59.0437767,-0.009187686,-0.002625963,-0.006561723,0
12/30/2017,2/18/2018,PG,1.7885782,60.8323549,-0.00206362,0.00037347,-0.00243709,0
3/31/2016,5/20/2016,NKE,,78.1594358,-0.009817728,0.006019504,-0.015837232,1
6/30/2016,8/19/2016,NKE,-0.6976879,77.4617479,0.029540231,-0.001440272,0.030980503,1
9/30/2016,11/19/2016,NKE,-0.4393864,77.0223615,-0.009498117,-0.002386798,-0.007111319,1
12/30/2016,2/18/2017,NKE,0.4471336,77.4694951,0.008171825,0.001678556,0.006493269,1
3/30/2017,5/19/2017,NKE,2.0050421,79.4745372,-0.002316542,0.0067675,-0.009084042,1
6/30/2017,8/19/2017,NKE,-17.0825597,62.3919775,-0.043682515,-0.001835367,-0.041847148,0
9/30/2017,11/19/2017,NKE,-0.1683868,62.2235907,0.034247684,-0.002625963,0.036873647,0
12/30/2017,2/18/2018,NKE,0.7550419,62.9786326,-0.006354286,0.00037347,-0.006727756,0
3/31/2016,5/20/2016,C,,71.3021161,-0.003550834,0.006019504,-0.009570338,1
6/30/2016,8/19/2016,C,0.6107308,71.9128469,0.000645172,-0.001440272,0.002085444,1
9/30/2016,11/19/2016,C,-0.1472157,71.7656312,0.000180309,-0.002386798,0.002567107,1
12/30/2016,2/18/2017,C,1.308319,73.0739502,-0.003478004,0.001678556,-0.00515656,1
3/30/2017,5/19/2017,C,-1.4245005,71.6494497,0.0016673,0.0067675,-0.0051002,1
6/30/2017,8/19/2017,C,3.6544551,75.3039048,-0.000300332,-0.001835367,0.001535035,0
9/30/2017,11/19/2017,C,0.8069556,76.1108604,-0.00474392,-0.002625963,-0.002117957,0
12/30/2017,2/18/2018,C,1.6852309,77.7960913,-0.008923762,0.00037347,-0.009297232,0
3/31/2016,5/20/2016,CAT,,66.7176627,0.006337298,0.006019504,0.000317794,1
6/30/2016,8/19/2016,CAT,0.8616869,67.5793496,0.005517,-0.001440272,0.006957272,1
9/30/2016,11/19/2016,CAT,2.0819608,69.6613104,-0.004742428,-0.002386798,-0.00235563,1
12/30/2016,2/18/2017,CAT,2.1960838,71.8573942,0.006004357,0.001678556,0.004325801,1
3/30/2017,5/19/2017,CAT,-0.9398294,70.9175648,0.000798872,0.0067675,-0.005968628,1
6/30/2017,8/19/2017,CAT,-1.4479973,69.4695675,0.006894016,-0.001835367,0.008729383,0
9/30/2017,11/19/2017,CAT,-0.2476335,69.221934,-0.001686642,-0.002625963,0.000939321,0
12/30/2017,2/18/2018,CAT,0.4443011,69.6662351,-0.005302372,0.00037347,-0.005675842,0
3/31/2016,5/20/2016,AMZN,,66.4210968,0.006127194,0.006019504,0.00010769,1
6/30/2016,8/19/2016,AMZN,-0.0399071,66.3811897,-0.009353038,-0.001440272,-0.007912766,1
9/30/2016,11/19/2016,AMZN,-0.3966494,65.9845403,0.004970847,-0.002386798,0.007357645,1
12/30/2016,2/18/2017,AMZN,-2.298285,63.6862553,0.001101703,0.001678556,-0.000576853,1
3/30/2017,5/19/2017,AMZN,-1.0044007,62.6818546,0.01453277,0.0067675,0.00776527,1
6/30/2017,8/19/2017,AMZN,-1.6171138,61.0647408,-0.002186239,-0.001835367,-0.000350872,0
9/30/2017,11/19/2017,AMZN,-0.8060157,60.2587251,-0.006515518,-0.002625963,-0.003889555,0
12/30/2017,2/18/2018,AMZN,0.2759682,60.5346933,-0.014020745,0.00037347,-0.014394215,0
3/31/2016,5/20/2016,BMY,,73.8305316,0.006256011,0.006019504,0.000236507,1
6/30/2016,8/19/2016,BMY,-0.0440623,73.7864693,0.010395333,-0.001440272,0.011835605,1
9/30/2016,11/19/2016,BMY,-3.1412224,70.6452469,0.001411522,-0.002386798,0.00379832,1
12/30/2016,2/18/2017,BMY,0.1161299,70.7613768,0.005711028,0.001678556,0.004032472,1
3/30/2017,5/19/2017,BMY,-2.0431167,68.7182601,-0.011578721,0.0067675,-0.018346221,1
6/30/2017,8/19/2017,BMY,-0.176052,68.5422081,-0.00616534,-0.001835367,-0.004329973,0
9/30/2017,11/19/2017,BMY,0.6410095,69.1832176,-0.008889597,-0.002625963,-0.006263634,0
12/30/2017,2/18/2018,BMY,2.2313578,71.4145754,-0.007932706,0.00037347,-0.008306176,0
3/31/2016,5/20/2016,BAC,,61.3299416,-0.000688213,0.006019504,-0.006707717,1
6/30/2016,8/19/2016,BAC,0.0364203,61.3663619,0.003957933,-0.001440272,0.005398205,1
9/30/2016,11/19/2016,BAC,1.1031799,62.4695418,-0.003984155,-0.002386798,-0.001597357,1
12/30/2016,2/18/2017,BAC,2.3938607,64.8634025,-0.002440888,0.001678556,-0.004119444,1
3/30/2017,5/19/2017,BAC,-1.8500844,63.0133181,0.007532064,0.0067675,0.000764564,1
6/30/2017,8/19/2017,BAC,2.3307733,65.3440914,-0.000845993,-0.001835367,0.000989374,0
9/30/2017,11/19/2017,BAC,6.3746763,71.7187677,-0.005231659,-0.002625963,-0.002605696,0
12/30/2017,2/18/2018,BAC,-3.0890788,68.6296889,-0.009395931,0.00037347,-0.009769401,0
3/31/2016,5/20/2016,BA,,72.3946398,-0.00538726,0.006019504,-0.011406764,1
6/30/2016,8/19/2016,BA,1.5321996,73.9268394,-0.004147967,-0.001440272,-0.002707695,1
9/30/2016,11/19/2016,BA,-0.1136498,73.8131896,0.007018607,-0.002386798,0.009405405,1
12/30/2016,2/18/2017,BA,-0.3719132,73.4412764,0.011123498,0.001678556,0.009444942,1
3/30/2017,5/19/2017,BA,-2.0329305,71.4083459,-0.007719027,0.0067675,-0.014486527,1
6/30/2017,8/19/2017,BA,-0.7018707,70.7064752,0.000764056,-0.001835367,0.002599423,0
9/30/2017,11/19/2017,BA,-0.8010937,69.9053815,-0.005460737,-0.002625963,-0.002834774,0
12/30/2017,2/18/2018,BA,0.2045261,70.1099076,-0.004859107,0.00037347,-0.005232577,0
